S/N,Item,"Washing, Starching & Ironing (NGN)",Starching & Ironing (NGN)
1,Men's Native,700,500.0
2,Female's Native,700,500.0
3,Kid's Native,500,300.0
4,3PCS,1500,1000.0
5,Shirt,500,300.0
6,T-Shirt,400,300.0
7,Trouser,500,300.0
8,Jeans,500,300.0
9,Boxer,500,
10,Singlet,300,
11,Men's Suit,2500,1500.0
12,Female's Suit,2500,1500.0
13,Men's Jacket,1000,700.0
14,Gown (Long),700,500.0
15,Gown (Short),500,400.0
16,Dress,500,400.0
17,Short Knicker,400,300.0
18,"Bed Spread ""A""",600,
19,"Bed Spread ""B""",700,
20,Blanket,1500,
21,Pillow Case,800,
22,Duvet Big,3000,
23,Duvet Small,2500,
24,Duvet Cover,1500,
25,Curtain Small,1000,
26,Curtain Big,1500,
27,Towel (Coloured Small),500,
28,Towel (Coloured Big),800,
29,Towel (White Big),1000,
30,Towel (White Small),600,
31,Center Rug,1500,
32,Table Mat,400,
33,Bulk,6000,
